,title,company,description,company_overview,location,role,hours,industry,applications,posted,closing,salary_type,salary
0,Document Controller,SEMBCORP MARINE LTD,"Roles & ResponsibilitiesReporting to the Manager of the Project and Management Control Department, the incumbent will be responsible to support the preparation of project engineering drawings and documentation, transmitting and filing the documentation in accordance with the policies and procedures.  Manages and maintains updated documentation throughout the work processes and project life cycle based on the company’s policies and procedures Secures the management of original documentation and arranges duplication and printing for distribution based on the distribution list under the direction of direct supervisor Monitors the movement of documentation based on tracking log, files and organises all the documentation for safe-keeping, storage and archiving based on the operating policies and procedures Handles the disposal and retention of documentation based on specific requirements and company’s policies and assists in file migrations and audits, when required Produces reports and statistical figures to indicate the status of work progress and updates the spreadsheets into the computer dossier based on the obtained information Compiles, organises and updates records into the computer system on a routine basis to ensure accurate data is available for use when required by relevant personnel/department Provides administrative support to other team members as required to achieve functional objectives and deadlines Requirements A/O Level/ Nitec/ Higher Nitec/ Diploma Minimum 5 years of relevant experience as document controller in oil & gas or similar industry Good working knowledge of MS Office, Excel and Power Point Adequate skill in written and spoken English Positive working attitude Good team player and able to work independently Good communication and interpersonal skill Willing to commit overtime    Our Address Sembcorp Marine Ltd Tanjong Kling Yard 29 Tanjong Kling Road Singapore 628054   Tuas Boulevard Yard 80 Tuas South Boulevard Singapore 637051   Mon-Thu : 7.30am – 5.15pm Fri : 7.30am – 4.15pm   Interested candidates with relevant background are invited to send us an updated resume with your current and expected salary, reason of application and earliest availability to kenneth.cheng@sembmarine.com. Please ensure that the Position Title or Reference Code (if available) is clearly stated in your Subject Line. We regret that only shortlisted candidates will be notified. Please note that your personal data disclosed to Sembcorp Marine Ltd and our group of companies, shall be used for the purposes of evaluation, and processing in accordance with our recruitment processes and policies. By providing your personal data, you have consented to the aforesaid purpose under the provisions of the Personal Data Protection Act 2012.","Sembcorp Marine is the global leader in integrated offshore and marine engineering solutions.
Sembcorp Marine provides innovative engineering solutions to the global offshore, marine and energy industries. Drawing upon more than 50 years of track record and an extensive network of facilities and expertise, the Group focuses on four key capabilities, namely, Rigs & Floaters; Repairs & Upgrades; Offshore Platforms and Specialised Shipbuilding.
Sembcorp Marine operates shipyards strategically located in Singapore, Indonesia, the United Kingdom and Brazil. Its customers include major oil companies, drilling contractors, shipping companies as well as owners and operators of floating production units.
By delivering innovative solutions that often redefine the possibilities of offshore, marine and energy technologies, Sembcorp Marine achieves successful and sustainable outcomes for its customers – regardless of the scale, complexity and location of the projects.",29 TANJONG KLING ROAD 628054,Non-executive,Contract,Engineering,9 applications,Posted 23 Jan 2019,Closing on 22 Feb 2019,Monthly,"$2,500-$3,000"
1,Accounts & Admin Assistant,TAI CHEONG BAKERY PTE. LTD.,"Roles & Responsibilities Perform month-end closing activities; Record and process all business transactions in the accounting system using double-entry accounting; Record transactions and events relating to sales, purchases, receivables, payables and cash; Record transactions and events relating to inventory, accruals, prepayments, capital structures and finance costs; Accounts reconciliation; Enter accurate data into the accounting system; Assist in all other ad-hoc general administrative functions when assigned. Requirements Possess a minimum O-level / Diploma in Accounting or recent college graduates with an interest in office administration are also encouraged to apply. Proficient in Microsoft Office (Word, Excel, Powerpoint, Outlook) Good communication skills Ability to multi-tasks Flexible, proactive and open-minded work style.  Ability to work productively in a team as well as independently and the ability to problem-solving ","TAI CHEONG BAKERY PTE. LTD.
Company Overview
We are proud to belong to a group of restaurants that were established in Singapore since 1956. The Group has grown and evolved into its current premier status in the restaurant circle with impressive accolades.
Our reputation stems from our ability to consistently serve up superior tasting seafood, cooked from the freshest ingredients and the finest local spices whilst preserving the distinctive Singapore flavour in all its gastronomc creations.
To grow, the Group devotes 25% of our yearly earnings to the development of the brand. The Management team and senior chefs frequently travel internationally to learn global trends and seek new culinary inspiration.
The Group is committed to our values and constantly strives for continual improvement.
Through the remarkable standards that the Group has been able to maintain throughout our history has led to a wealth of business opportunities internationally with global partners.",5 MOHAMED SULTAN ROAD 239014,Non-executive,Full Time,Admin / Secretarial,14 applications,Posted 23 Jan 2019,Closing on 22 Feb 2019,Monthly,"$1,800-$1,800"
2,"Executive, Ocean Operations",C.H. ROBINSON FREIGHT SERVICES (SINGAPORE) PTE. LTD.,"Roles & ResponsibilitiesJOB DESCRIPTION      Operational duties to include coordination with customers, truckers, Shipping Lines/Co-loaders and overseas offices/agents for the import of shipments.   Customer Service responsibilities include maintaining communication with vendor, customer, carrier and overseas offices throughout the process and choosing proper delivery appropriate to the customer's needs.  Resolve issues respective to client requirements, data input - general customer service inquiries related to tracking, tracing and delivery.  Resolve billing discrepancies and discrepancies against client SOP's.   Apply Customs permits via TradeNet    RequirementsIf you possess the following qualities, look no further, apply now!   Possess at least Diploma/Degree in any field Transportation, Logistics, Supply Chain Management, Business or Sales & Marketing, or equivalent.   Minimum 1-2 years of relevant experience in freight forwarding.   Good working knowledge of domestic and international geography including countries, major cities, seaport.   Basic knowledge of other local government agency requirements.   Strong verbal and written communication skills; and PC skills.   A good team player with the ability to work with colleagues and people of all levels.   Strong in problem solving & decision making skills.   Desire for a career in Freight Fowarding/Logistics.   BENEFITS WE PROVIDE  5 days work week. Comprehensive Medical & Dental benefits. Salary will commensurate according to experience and qualifications. We strive to achieve employee satisfaction and provides conducive working environment, attractive incentives and remuneration to all levels.  HOW TO APPLY   If you are a team player, meticulous & organized, and more importantly, believe that YOU CAN MAKE A DIFFERENCE, we would be more than happy to hear from you.   Submit your application together with your latest resume, detailing your last/current role which should also include the following;   a. Current & Expected Salary b. Reason(s) for leaving c. Availability to commence work     C.H.ROBINSON is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of Any Kind.   Personal data provided by the applicants will be treated in strictest confidence according to the Personal Data Policy Act, 2012 and will be used only for recruitment purposes.   We regret to inform you that only shortlisted candidates will be notified.","Founded in 1905, C.H. Robinson is one of the world's largest third party logistics (3PL) providers, with 2015 gross revenues of $13.5 billion. We provide freight transportation and logistics, outsource solutions, produce sourcing, and information services to 110,000 customers through a network of offices in North America, South America, Europe, and Asia. To meet our customers' freight needs, we provide access to 68,000 transportation providers worldwide, including contract motor carriers, railroads, air freight carriers, and ocean carriers. With the service and dedication of 13,159 employees, our performance-driven culture, and our proven track record of success, we've built a strong reputation as an industry leader.
  While our tradition of leadership began with our produce and truckload services, we've evolved into an industry-leading 3PL with a comprehensive portfolio of sourcing, transportation, and logistics services. The ongoing challenges of the supply chain industry inspire us to innovate and search for new ideas that challenge limits and extend Beyond Brokerage. Our customers, contract carriers, and suppliers are the beneficiaries of this forward-thinking approach, because we believe they deserve nothing but the best from their 3PL. We are not content to simply meet their expectations—we are committed to exceeding them every single day.","KA CENTRE, 150 KAMPONG AMPAT 368324",Junior Executive,Full Time,Logistics / Supply Chain,20 applications,Posted 23 Jan 2019,Closing on 22 Feb 2019,Monthly,"$2,500-$3,800"
3,Senior Assistant Manager / Assistant Manager (Executive Programmes Office),NATIONAL UNIVERSITY OF SINGAPORE,"Roles & ResponsibilitiesIn today’s constantly changing environment, we face continued and new complexities of challenges in global health, including chronic diseases, pandemics, antimicrobial resistance, health systems and financing, and data management and analysis. These challenges continually call for the crucial need for strong, dynamic and resilient leadership in global health. The NUS Saw Swee Hock School of Public Health is established to address this need in the region through its Executive Programmes Office (EPO).   The EPO is responsible for organizing and running customised executive programmes designed, developed and delivered by the School’s faculty known for their extensive research, consulting experience and progressive teaching tools. These programmes focus on developing particular strategic leadership skills required in the political and organizational contexts in public health leaders as well as equipping students with a range of new ideas and skills that they can leverage on in their organisations.   We are looking for someone with an enterprise and entrepreneurial spirit, who enjoys adopting a proactive approach and partner with senior stakeholders on decision-making processes as well as setting things up from scratch. Being part of the pioneer team allows you to handle end-to-end administration from setting up processes, onboarding new hires, programmes planning and execution, and other related activities.   Programme Management & Operations:  Steer and undertake organisation and delivery execution of executive programmes/ events; Manage and supervise team, colleagues and stakeholders throughout full suite of processes, including planning, marketing, coordinating logistics arrangements (e.g. liaising with speakers, source for venues, arranging meetings, etc.); Develop, communicate and drive project schedule commitments; Facilitate change management decisions and adjust assignments and expectations accordingly;  Administration:  Develop team standards for gathering and documenting business requirements and processes; Drive initiatives or goals (e.g. continuous improvement), as required; Coach staff and share best practices to the team, as required;  Marketing & Communications:  Collaborate with faculty, team and communications colleagues to generate marketing content, craft messaging, create assets by event/ executive programme type, aligned to the goals for each event; Execute marketing/ publicity, including basic graphic design work, generation of post-event write-up for website and other platforms; Work with external vendors to design and develop marketing collateral, as required. RequirementsEssential:  A recognized Degree with at least 5 years of working experience An experienced self-starter, with a ‘can-do/ challenger’ mentality – a competitive spirit that is not easily daunted or discouraged. Finds effective ways to navigate interpersonal and inter-organisational dynamics to surmount obstacles Adept at problem-solving with the ability to diagnose challenges and develop and execute plans that advance towards a desired state Able to work independently, and also lead and motivate a team to deliver outcomes in a target-driven environment Strong analytic, strategic thinking, and planning skills Ability to take initiative and manage assignments from conceptualization to completion, especially when managing multiple projects with conflicting time frames Strong computer skills (MS Word, Excel and PowerPoint) Experience in marketing and communications with basic proficiency in Adobe Creative Suite (Photoshop, Illustrator, InDesign) Exceptional oral and written communication skills, demonstrated ability to convey messages to diverse audiences in a polished and articulate manner with robust presentation skills Proficiency in conducting effective meetings and making concise presentations Strong interpersonal and negotiation skills, and ability to interact effectively with all levels of associates, including senior leadership Experience of working in partnerships and/ or coalitions with demonstrated ability to work collaboratively and maintain positive relationships with a broad audience of internal and external stakeholders to achieve desired results Ability and willingness to work long hours or over weekends leading up to events, as appropriate and required ","The National University of Singapore aspires to be a vital community of academics, researchers, staff, students and alumni working together in a spirit of innovation and enterprise for a better world.
  Our singular focus on talent will be the cornerstone of a truly great university that is dedicated to quality education, influential research and visionary enterprise, in service of country and society.",21 LOWER KENT RIDGE ROAD 119077,"Middle Management, Executive","Contract, Full Time",Education and Training,15 applications,Posted 23 Jan 2019,Closing on 22 Feb 2019,Monthly,"$3,200-$5,000"
4,CORPORATE TAX SENIOR,P G WEE PARTNERSHIP LLP,"Roles & ResponsibilitiesThe Senior Tax Associate  supports the Tax Manager/Partners in managing simple tax engagements which include but not limited to planning, performing and reviewing of straightforward tax compliance work and on tax deliverables and ensure the timely completion of tax work. He/She works closely with clients and nurtures the on-going relationships with client personnel. He/She may be involved in matters such as assisting in preparing tax returns for larger/complex entities such as a Singapore entity of a Group, managing all tax compliance, preparing transfer pricing documentation, assisting in resolving queries on tax issues from clients or the tax authority and possibly assisting in tax dispute resolution. He/She contributes to the achievement of quality tax work through the development and use of tax technical skills and business knowledge to resolve work issues effectively.  The Senior Tax Associate supports the Tax Manager in delivering high quality tax services in areas such as compliance on tax reporting, implementation of tax policies and the adherence of internal tax controls. He/She may be involved in preparing tax returns, including data collation and analysis, managing all tax compliance work, monitoring tax payment and refunds, preparing transfer pricing documentation, preparing tax reports, assisting in resolving inquiries from the tax authority and possibly assisting in tax dispute resolution. He/She also contributes to the achievement of quality tax work through the development and use of tax technical skills and business knowledge to resolve work issues effectively.Requirements~ Communicate implications to the client or business. ~ Draft responses for clients with more complex tax filings. ~ Identify tax risks and implications across different tax types to the client or organisation. ~ Prepare complex tax computations and tax returns accurately and navigate national e-filing systems (where required). ~ Research and analyse data to file more complex returns. ~ Review draft responses to IRAS' queries and next step(s). ~ Review other tax-related statutory filings. ~ Review tax computations and tax returns. ~ Review tax risk profile of the client or organisation and make recommendations (with appropriate supporting documents) accordingly. ~ Uphold professional and ethical standards of the team.","P G WEE PARTNERSHIP LLP
We have the critical mass to provide in-depth knowledge, experience and skill in each service area in Audit and Assurance, Tax Advisory and Compliance, Business Support and Business Advisory. And our people are trained in using collaborative cloud software to harness and put together these strengths for individual service requirements.
Simply, a one-stop business service provider.",79 ANSON ROAD 079906,Executive,"Permanent, Full Time",Accounting / Auditing / Taxation,8 applications,Posted 23 Jan 2019,Closing on 22 Feb 2019,Monthly,"$3,000-$4,000"
5,Research Associate,NANYANG TECHNOLOGICAL UNIVERSITY,"Roles & ResponsibilitiesResearch Associate position in public health, epidemiology, health services research or eHealth This is an exciting opportunity to join a high profile international research programme investigating the relationship between the built environment, health and psychology. You will join a multi-disciplinary research team interfacing health, psychology, engineering, and sociology with outstanding opportunities for career progression.  A Research Associate is required to contribute to research projects at the Centre, including data analysis, report writing and preparation of research publications. Electronic submission of application is highly encouraged. Only shortlisted candidates will be notified for interview.  RequirementsThe suitable candidate should be in possession of a master degree in public health, epidemiology, health services research, eHealth or related disciplines (for example, psychology, social sciences, statistics) and advanced competency in quantitative research methods, evidence syntheses, etc.  SPSS and/or STATA and/ or R software proficiency Drafting manuscripts for publication 1-3 years of relevant experience would be preferable. ","World's Top Young University
A research-intensive public university, Nanyang Technological University, Singapore (NTU Singapore) has 33,000 undergraduate and postgraduate students in the colleges of Engineering, Business, Science, and Humanities, Arts and Social Sciences, and its Interdisciplinary Graduate School. NTU’s Lee Kong Chian School of Medicine was established jointly with Imperial College London.
Meteoric rise in international academic reputation ?
In 2018, NTU was placed 12th globally in the Quacquarelli Symonds (QS) World University Rankings. It was also ranked the world’s best young university (under 50 years old) by QS for the fifth consecutive year. In addition, NTU was named the world’s fastest rising young university by Times Higher Education in 2015.
In engineering and technology, NTU is ranked 5th worldwide in the QS World University Rankings by Subject 2018. With six schools, NTU’s College of Engineering is among the top nine globally for research output and the 5th most cited in the world (Essential Science Indicators 2017). ?
Mirroring this success is the College of Science, whose young chemistry department is ranked 10th among universities in the Nature Index 2018. Boosted by research at the Lee Kong Chian School of Medicine, NTU is also strengthening its foothold in areas such as biomedicine and life sciences.
The well-established Nanyang Business School is regularly featured among the leading business schools in Asia, with its MBA programme consistently rated top in Singapore since 2004 by The Economist.
Innovative learning
In higher education, NTU is driving new pedagogies so that millennials can learn more effectively in this digital age. Part of NTU's education strategy is the flipped classroom model of learning. The centrepiece of this new way of learning is The Hive, a groundbreaking learning facility that has been described by CNN as having redefined the traditional classroom. 
Innovative education initiatives also include signature programmes such as Renaissance Engineering Programme, CN Yang Scholars Programme, NTU-University Scholars Programme. Designed for high-achieving students, these programmes offer a multidisciplinary curriculum, guidance by top faculty, interdisciplinary and intensive research opportunities, overseas exposure, as well as dialogues with world-class scientists and industry leaders.?
Set up jointly with Imperial College London, NTU's medical school, is grooming a new generation of doctors to meet the healthcare needs of Singapore.
Research impact
Known for research excellence and technological innovation, NTU leads the top Asian universities in normalised research citation impact (Clarivate Analytics’ InCites 2016). In the 2018 Nature Index, NTU is placed 29th among the world's universities and first in Singapore.
NTU's five-year strategic plan, NTU 2020, builds on strong foundations of NTU 2015 and aims to propel NTU to greater heights of research excellence. The plan focuses on five key research thrusts – Sustainable Earth, Global Asia, Secure Community, Healthy Society and Future Learning. The areas leverage NTU’s diverse strengths, particularly its longstanding expertise in engineering, business and education, and the interfaces these have with various disciplines such as in healthcare, science and the humanities. NTU’s sustainability initiatives have clinched significant competitive research funding and the university is already a global leader in this area.","NANYANG TECHNOLOGICAL UNIVERSITY, 50 NANYANG AVENUE 639798",Non-executive,"Contract, Full Time",Sciences / Laboratory / R&D,2 applications,Posted 23 Jan 2019,Closing on 22 Feb 2019,Monthly,"$3,500-$4,500"
6,Executive / Senior Executive - Central Store (180000F6),NANYANG TECHNOLOGICAL UNIVERSITY,"Roles & ResponsibilitiesDuties and Responsibilities  Safety and teaching labs:  Assist Safety Officer/ Technical Executive to coordinate waste disposal from various central, teaching and research labs   Maintain record and data of safety licences Assist Safety Officer in managing the administration aspects of licence renewals  Support Safety Officer in various administration matters including attending safety meetings, annual chemical audit, preparation of bi-monthly safety newsletters Assist in preparation of teaching lab consumables and equipment Any other laboratory related duties as assigned   Store Operations:  Responsible to source, negotiate and purchase chemicals, consumables and laboratory equipment for school Work closely with requesters and NSS (Procurement) to establish users’ requirements for sourcing, post quotations/ tenders, receive bids, coordinate with users on the evaluation of bids, issue awards, establish contracts and manage suppliers’ performance Evaluate vendor’s quotation to ensure that they are in line with the technical and commercial specifications required and advise requesters In charge of daily operational purchasing needs such as planning, issuing and following up on Purchase Orders delivery and shipment schedules and invoicing Resolve delivery and invoicing issues with vendors  Assist in Annual Performance Review for vendors  Update and manage purchasing records/ inventory system to ensure completeness and easy retrieval of stores Assist in internal billing for items collected from central store Maintenance and stock take of central store Handle and manage any form of procurement dispute Ensure compliance with NTU’s procurement policies and procedures    Others:  Any other adhoc duties assigned Requirements Min Diploma in Science or Engineering or equivalent certifications  Min 2 year of relevant experience in a similar capacity preferably with procurement experience. Fresh graduates are welcome to apply  Incumbent who are more qualified and/or with more years of relevant experience will be considered for the senior Executive position  Excellent interpersonal skills   Resourceful Self-driven Proactive Independent Hardworking and meticulous Positive attitude  Proficient in the use of MS Office Applications (Words, Excel, PowerPoint) and SAP Able to work well under stress and in a fast paced environment     Application Procedures: Interested candidates are to apply via the link below https://ntu.taleo.net/careersection/jobdetail.ftl?job=180000F6&lang=en We regret that only shortlisted candidates will be notified. ","World's Top Young University
A research-intensive public university, Nanyang Technological University, Singapore (NTU Singapore) has 33,000 undergraduate and postgraduate students in the colleges of Engineering, Business, Science, and Humanities, Arts and Social Sciences, and its Interdisciplinary Graduate School. NTU’s Lee Kong Chian School of Medicine was established jointly with Imperial College London.
Meteoric rise in international academic reputation ?
In 2018, NTU was placed 12th globally in the Quacquarelli Symonds (QS) World University Rankings. It was also ranked the world’s best young university (under 50 years old) by QS for the fifth consecutive year. In addition, NTU was named the world’s fastest rising young university by Times Higher Education in 2015.
In engineering and technology, NTU is ranked 5th worldwide in the QS World University Rankings by Subject 2018. With six schools, NTU’s College of Engineering is among the top nine globally for research output and the 5th most cited in the world (Essential Science Indicators 2017). ?
Mirroring this success is the College of Science, whose young chemistry department is ranked 10th among universities in the Nature Index 2018. Boosted by research at the Lee Kong Chian School of Medicine, NTU is also strengthening its foothold in areas such as biomedicine and life sciences.
The well-established Nanyang Business School is regularly featured among the leading business schools in Asia, with its MBA programme consistently rated top in Singapore since 2004 by The Economist.
Innovative learning
In higher education, NTU is driving new pedagogies so that millennials can learn more effectively in this digital age. Part of NTU's education strategy is the flipped classroom model of learning. The centrepiece of this new way of learning is The Hive, a groundbreaking learning facility that has been described by CNN as having redefined the traditional classroom. 
Innovative education initiatives also include signature programmes such as Renaissance Engineering Programme, CN Yang Scholars Programme, NTU-University Scholars Programme. Designed for high-achieving students, these programmes offer a multidisciplinary curriculum, guidance by top faculty, interdisciplinary and intensive research opportunities, overseas exposure, as well as dialogues with world-class scientists and industry leaders.?
Set up jointly with Imperial College London, NTU's medical school, is grooming a new generation of doctors to meet the healthcare needs of Singapore.
Research impact
Known for research excellence and technological innovation, NTU leads the top Asian universities in normalised research citation impact (Clarivate Analytics’ InCites 2016). In the 2018 Nature Index, NTU is placed 29th among the world's universities and first in Singapore.
NTU's five-year strategic plan, NTU 2020, builds on strong foundations of NTU 2015 and aims to propel NTU to greater heights of research excellence. The plan focuses on five key research thrusts – Sustainable Earth, Global Asia, Secure Community, Healthy Society and Future Learning. The areas leverage NTU’s diverse strengths, particularly its longstanding expertise in engineering, business and education, and the interfaces these have with various disciplines such as in healthcare, science and the humanities. NTU’s sustainability initiatives have clinched significant competitive research funding and the university is already a global leader in this area.","NANYANG TECHNOLOGICAL UNIVERSITY, 50 NANYANG AVENUE 639798","Professional, Executive","Contract, Full Time","Engineering, Sciences / Laboratory / R&D",13 applications,Posted 23 Jan 2019,Closing on 22 Feb 2019,Monthly,"$2,800-$3,800"
7,Software Engineer,SEMBCORP MARINE LTD,"Roles & Responsibilities Develop and manage existing/ new in house software to serve engineering, production, client requirement.  Involve   documentation, administrative work, and technical skills on process flow enhancement, project lifecycle control, 3D graphical handling and web programming, to produce high quality applications to fit the process needs. Provide service and support in operation system to all engineering disciplines for new building, conversion and repair projects to achieve desired and targeted results Develop and manage existing/ new in house software to serve engineering, production, client requirement. Implement and enhance engineering applications Project setup and data access control Daily trouble shooting Involve documentation, administrative work, and technical skills on process flow enhancement, project lifecycle control, 3D graphical handling and web programming, to produce high quality applications to fit the process needs. Perform any other duties as assigned by superior(s) from time to time Requirements Degree in Computer Engineering, Information Technology, Computer Science or equivalent Minimum 2 years of relevant experience Fresh graduate are welcome to apply (On Job Training will be provided) Competent with Java Programming (Java EE7, Java Swing/ JavaFX), .Net C# Programming, SQL Database handling, Excel Visual Basic for Application Possess technical skills in either PDMS, Navisworks, Autocad, Cadmatic will be an added advantage Possess relevant experience in Marine and Offshore industry will be an added advantage   Our Address Sembcorp Marine Ltd Tanjong Kling Yard 29 Tanjong Kling Road Singapore 628054   Mon-Thu : 7.30am – 5.15pm Fri : 7.30am – 4.15pm   Interested candidates with relevant background are invited to send us an updated resume with your current and expected salary, reason of application and earliest availability to kenneth.cheng@sembmarine.com.  We regret that only shortlisted candidates will be notified.   Please note that your personal data disclosed to Sembcorp Marine Ltd and our group of companies, shall be used for the purposes of evaluation, and processing in accordance with our recruitment processes and policies. By providing your personal data, you have consented to the aforesaid purpose under the provisions of the Personal Data Protection Act 2012.","Sembcorp Marine is the global leader in integrated offshore and marine engineering solutions.
Sembcorp Marine provides innovative engineering solutions to the global offshore, marine and energy industries. Drawing upon more than 50 years of track record and an extensive network of facilities and expertise, the Group focuses on four key capabilities, namely, Rigs & Floaters; Repairs & Upgrades; Offshore Platforms and Specialised Shipbuilding.
Sembcorp Marine operates shipyards strategically located in Singapore, Indonesia, the United Kingdom and Brazil. Its customers include major oil companies, drilling contractors, shipping companies as well as owners and operators of floating production units.
By delivering innovative solutions that often redefine the possibilities of offshore, marine and energy technologies, Sembcorp Marine achieves successful and sustainable outcomes for its customers – regardless of the scale, complexity and location of the projects.",29 TANJONG KLING ROAD 628054,Junior Executive,Permanent,Information Technology,3 applications,Posted 23 Jan 2019,Closing on 22 Feb 2019,Monthly,"$2,500-$3,500"
8,Underwriting Exec,QBE INSURANCE (SINGAPORE) PTE. LTD.,"Roles & ResponsibilitiesResponsibilities:  Assist with the underwriting of new business in accordance with the organization’s policy and underwriting guidelines Process insurance quotations, new business and endorsement Provide professional level of services to external customers and internal stakeholders Develop good working relationships with all internal customers and stakeholders Provide product training to intermediaries  Ensure timely communication with relevant stakeholders in respect to processing queries Maintain product, system and process knowledge Attend relevant product and skill courses and passing on relevant knowledge to other staff Completion of all required compliance training Accuracy, timeliness and frequency of communication to stakeholders Where appropriate, identify and escalate queries / risks to the relevant Senior Underwriter / Manager, Underwriting Maintain data in relevant computer systems and other databases RequirementsRequirements:  Minimum 4+ years of underwriting experience Relevant experience handing relationships with intermediaries Strong policy documentation handling experience Experience training internal and/or external partners Good understanding of process and procedures Sound PC skills and fast learner in computer programs Proven analytical, negotiation and problem-solving skills Excellent interpersonal and communication skills Legal qualification or work experience within legal industry ",QBE INSURANCE (SINGAPORE) PTE. LTD.,1 RAFFLES QUAY 048583,"Executive, Senior Executive",Full Time,Insurance,4 applications,Posted 23 Jan 2019,Closing on 22 Feb 2019,,Salary undisclosed
9,Accounts Assistant / clerk,SEO ENG JOO FROZEN FOOD PTE LTD,"Roles & Responsibilities Handle partial/full set of accounts Perform data entries, prepare and assist in day-to-day operation in accounting Prepare GST Returns Prepare monthly financial reports Prepare prepaid and accrual schedules, fixed assets register and bank reconciliation        RequirementsKnowledge in book keeping or LCCI equivilant   Proficient in MS office applications","SEO ENG JOO FROZEN FOOD PTE LTD
Supply Chain Management (Cold chain distribution, storage & processing)
Importer and exporter of dry, chilled & frozen food products
Wholesaler & distributor 
Further processing of frozen food products
Refrigated warehouse management, order picking & logistic management
Food Processing management solutions
Contract manufacturing member of MTA
100% HACCP certified 
 ","SEJ FOOD HUB, 5 BUROH LANE 618289",Junior Executive,Permanent,Accounting / Auditing / Taxation,12 applications,Posted 23 Jan 2019,Closing on 22 Feb 2019,Monthly,"$1,400-$2,000"
